(k=3,d=1) Simplex-Lattice Design
 
(k=3,d=1) Simplex-Lattice Design
 
k = 3 factors; d = degree 1
n = 3 runs
 
















   X1  X2  X3
  -------------
    1   0   0
    0   1   0
    0   0   1
 
