2**(31-26) FRACTIONAL FACTORIAL DESIGN
NUMBER OF LEVELS FOR EACH FACTOR =  2
NUMBER OF FACTORS                = 31
NUMBER OF OBSERVATIONS           = 32 (A SATURATED DESIGN)
RESOLUTION                       =  3 (CAUTION! MAIN EFFECTS CONFOUNDED
                                      WITH 2-TERM INTERACTIONS)
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
 FACTOR    DEFINITION       CONFOUNDING STRUCTURE
   1           1                (ALL MAIN
   2           2                EFFECTS
   3           3                ARE
   4           4                CONFOUNDED
   5           5                WITH
   6          12                2-FACTOR
   7          13                INTERACTIONS
   8          14                AND
   9          15                HIGHER-ORDER
  10          23                INTERACTIONS)
  11          24
  12          25
  13          34
  14          35
  15          45
  16         123
  17         124
  18         125
  19         134
  20         135
  21         145
  22         234
  23         235
  24         245
  25         345
  26        1234
  27        1235
  28        1245
  29        1345
  30        2345
  31       12345
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
DEFINING RELATION =
REFERENCE--
NOTE--THIS DESIGN IS EQUIVALENT TO A TAGUCHI L32 DESIGN
      REFERENCE--TAGUCHI, SYS. OF EXP. DES., VOL. 2, PAGE XX.
NOTE--IF POSSIBLE, THIS (AS WITH ALL EXPERIMENT DESIGNS) SHOULD BE
      RUN IN RANDOM ORDER (SEE DATAPLOT'S RANDOM PERMUTATION FILES).
NOTE--TO READ THIS FILE INTO DATAPLOT--
      DIMENSION 35 VARIABLES
      SKIP 100
      READ 2TO31M26.DAT X1 TO X31
DATE--DECEMBER 1988
NOTE--IN THE DESIGN BELOW, "-1" REPRESENTS THE "LOW"  SETTING OF A FACTOR
                           "+1" REPRESENTS THE "HIGH" SETTING OF A FACTO












































 X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
---------------------------------------------------------------------------------------------
-1 -1 -1 -1 -1 +1 +1 +1 +1 +1 +1 +1 +1 +1 +1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 +1 +1 +1 +1 +1 -1
+1 -1 -1 -1 -1 -1 -1 -1 -1 +1 +1 +1 +1 +1 +1 +1 +1 +1 +1 +1 +1 -1 -1 -1 -1 -1 -1 -1 -1 +1 +1
-1 +1 -1 -1 -1 -1 +1 +1 +1 -1 -1 -1 +1 +1 +1 +1 +1 +1 -1 -1 -1 +1 +1 +1 -1 -1 -1 -1 +1 -1 +1
+1 +1 -1 -1 -1 +1 -1 -1 -1 -1 -1 -1 +1 +1 +1 -1 -1 -1 +1 +1 +1 +1 +1 +1 -1 +1 +1 +1 -1 -1 -1
-1 -1 +1 -1 -1 +1 -1 +1 +1 -1 +1 +1 -1 -1 +1 +1 -1 -1 +1 +1 -1 +1 +1 -1 +1 -1 -1 +1 -1 -1 +1
+1 -1 +1 -1 -1 -1 +1 -1 -1 -1 +1 +1 -1 -1 +1 -1 +1 +1 -1 -1 +1 +1 +1 -1 +1 +1 +1 -1 +1 -1 -1
-1 +1 +1 -1 -1 -1 -1 +1 +1 +1 -1 -1 -1 -1 +1 -1 +1 +1 +1 +1 -1 -1 -1 +1 +1 +1 +1 -1 -1 +1 -1
+1 +1 +1 -1 -1 +1 +1 -1 -1 +1 -1 -1 -1 -1 +1 +1 -1 -1 -1 -1 +1 -1 -1 +1 +1 -1 -1 +1 +1 +1 +1
-1 -1 -1 +1 -1 +1 +1 -1 +1 +1 -1 +1 -1 +1 -1 -1 +1 -1 +1 -1 +1 +1 -1 +1 +1 -1 +1 -1 -1 -1 +1
