This is Dataplot Data File    USADEBT.DAT
National Debt for years 1947 to 1993
Source: USA Today and
        Commerce Dept., Blue Chip Economic Indicators, Economic
        Report of the President.
        Council of Economic Advisors
        Office of Management and Budget
Note--Units = billions of dollars
Number of Observations = 47
Number of Variables = 8
Order of Variables on a line image--
   1. Year (1947 to 1993)
   2. Gross Domestic Product
   3. Federal Budget
   4. Deficit or Surplus
   5. Deficit or Surplus (as % of GDP)
   6. National Debt
   7. Interest Paid on National Debt
   8. Interest as % of GDP
To read this into Dataplot--
   SKIP 25
   READ USADENT.DAT YEAR GDP BUDGET SURP RELSURP DEBT INT RELINT
Year    GDP   Budget  Surplus  Relative  Debt  Interest  Relative
                               Surplus                   Interest
-----------------------------------------------------------------
1947    223     35      4.0      1.8    257      5.0      2.2
1948    247     30     11.8      4.8    252      5.2      2.1
1949    263     39      0.6      0.2    253      5.3      2.0
1950    266     43     -3.1      1.2    257      5.7      2.1
1951    314     46      6.1      1.9    255      5.6      1.8
1952    341     68     -1.5      0.4    259      5.9      1.7
1953    364     76     -6.5      1.8    266      6.5      1.8
1954    368     71     -1.2      0.3    271      6.4      1.7
1955    385     68     -3.0      0.8    274      6.4      1.7
1956    416     71      3.9      0.9    273      6.8      1.6
1957    438     77      3.4      0.8    272      7.2      1.6
1958    448     82     -2.8      0.6    280      7.6      1.7
1959    480     92    -12.8      2.7    288      7.6      1.6
1960    505     92      0.3      0.1    291      9.2      1.8
1961    517     98     -3.3      0.6    293      9.0      1.7
1962    555    107     -7.1      1.3    303      9.1      1.6
1963    585    111     -4.8      0.8    310      9.9      1.7
1964    625    119     -5.9      0.9    316     11.0      1.7
1965    671    118     -1.4      0.2    322     11.0      1.7
1966    735    135     -3.7      0.5    329     12.0      1.6
1967    793    158     -8.6      1.1    340     13.0      1.7
1968    847    178    -25.2      3.0    369     15.0      1.7
1969    926    184      3.2      0.4    366     17.0      1.8
1970    985    196     -2.8      0.3    381     19.0      2.0
1971   1050    210    -23.0      2.2    408     21.0      2.0
1972   1150    231    -23.0      2.0    436     22.0      1.9
1973   1270    246    -15.0      1.2    466     24.0      1.9
1974   1400    269     -6.0      0.4    484     29.0      2.1
1975   1510    332    -53.0      3.5    542     33.0      2.2
1976   1680    372    -74.0      4.4    629     37.0      2.2
1977   1920    409    -54.0      2.8    706     42.0      2.2
1978   2160    459    -59.0      2.7    777     49.0      2.3
1979   2430    504    -40.0      1.7    829     60.0      2.5
1980   2640    591    -74.0      2.8    909     75.0      2.8
1981   2960    678    -79.0      2.7    994     96.0      3.2
1982   3120    746   -128.0      4.1   1140    117.0      3.8
1983   3320    808   -208.0      6.9   1370    129.0      3.9
1984   3700    852   -185.0      5.0   1560    154.0      4.2
1985   3970    946   -212.0      5.4   1820    179.0      4.5
1986   4220    990   -221.0      5.2   2120    190.0      4.5
1987   4450   1000   -150.0      3.4   2350    195.0      4.4
1988   4810   1060   -155.0      3.2   2600    214.0      4.5
1989   5170   1140   -153.0      2.9   2870    241.0      4.7
1990   5470   1250   -221.0      4.0   3210    265.0      4.8
1991   5630   1320   -270.0      4.8   3600    286.0      5.1
1992   5870   1380   -290.0      4.9   4000    292.0      5.0
1993   6150   1470   -285.0      4.6   4290    295.0      4.8
