This is the data file   NEGIZ4.DAT.
Source: Autuan Negiz analyzed these data while he was a post-doc
        in the NIST Statistical Engineering Division from the
        Illinois Institute of Technology.

        This data is used for the ARIMA case study on page pmc62.htm
        of the e-Handbook.

Description:  These data were collected from an aerosol mini-spray dryer
              device. The purpose of this device is to convert a slurry
              stream into deposited particles in a drying chamber. The
              device injects the slurry at high speed. The slurry is
              pulverized as it enters the drying chamber when it comes into
              contact with a hot gas stream at low humidity. The liquid
              contained in the pulverized slurry particles is vaporized,
              then transferred to the hot gas stream leaving behind dried
              small-sized particles.

              The response variable is particle size, which is collected
              equidistant in time. There are a variety of associated
              variables that may affect the injection process itself and
              hence the size and quality of the deposited particles. For
              the e-Handbook case study, we restrict our analysis to the
              response variable (column 3).



















To read into Dataplot, enter

    SKIP 50
    READ NEGIZ4.DAT JUNK1 JUNK2 Y

   JUNK1           JUNK2           Y               JUNK3           JUNK4
--------------------------------------------------------------------------------
   4.8680000e+00   5.7210000e+00   1.1536540e+02   2.1420520e+02   5.0000000e-01
   1.0429000e+01   1.2115000e+01   1.1463150e+02   2.1371590e+02   1.0000000e+00
   3.2330000e+00   1.2826000e+01   1.1463150e+02   2.1396050e+02   1.5000000e+00
   6.1770000e+00   1.1642000e+01   1.1609940e+02   2.1298190e+02   2.0000000e+00
   5.6860000e+00   1.0221000e+01   1.1634400e+02   2.1444980e+02   2.5000000e+00
   6.9940000e+00   1.0221000e+01   1.1609940e+02   2.1371590e+02   3.0000000e+00
   7.1580000e+00   5.0110000e+00   1.1634400e+02   2.1444980e+02   3.5000000e+00
   1.0593000e+01   1.3536000e+01   1.1683330e+02   2.1444980e+02   4.0000000e+00
   1.1738000e+01   6.1950000e+00   1.1634400e+02   2.1469450e+02   4.5000000e+00
   6.5040000e+00   5.4850000e+00   1.1683330e+02   2.1518380e+02   5.0000000e+00
   4.0500000e+00   4.3010000e+00   1.1732260e+02   2.1616240e+02   5.5000000e+00
   7.6490000e+00   5.9580000e+00   1.1707800e+02   2.1640710e+02   6.0000000e+00
   5.6860000e+00   8.5630000e+00   1.1732260e+02   2.1665170e+02   6.5000000e+00
   7.4850000e+00   3.5900000e+00   1.1732260e+02   2.1689640e+02   7.0000000e+00
   7.8120000e+00   1.0458000e+01   1.1781200e+02   2.1738570e+02   7.5000000e+00
   1.2883000e+01   8.0890000e+00   1.1756730e+02   2.1763030e+02   8.0000000e+00
