This is the data file   NEGIZ4.DAT.
Source: Autuan Negiz analyzed these data while he was a post-doc
        in the NIST Statistical Engineering Division from the
        Illinois Institute of Technology.

        This data is used for the ARIMA case study on page pmc62.htm
        of the e-Handbook.

Description:  These data were collected from an aerosol mini-spray dryer
              device. The purpose of this device is to convert a slurry
              stream into deposited particles in a drying chamber. The
              device injects the slurry at high speed. The slurry is
              pulverized as it enters the drying chamber when it comes into
              contact with a hot gas stream at low humidity. The liquid
              contained in the pulverized slurry particles is vaporized,
              then transferred to the hot gas stream leaving behind dried
              small-sized particles.

              The response variable is particle size, which is collected
              equidistant in time. There are a variety of associated
              variables that may affect the injection process itself and
              hence the size and quality of the deposited particles. For
              the e-Handbook case study, we restrict our analysis to the
              response variable (column 3).



















To read into Dataplot, enter

    SKIP 50
    READ NEGIZ4.DAT JUNK1 JUNK2 Y

   JUNK1           JUNK2           Y               JUNK3           JUNK4
   7.1580000e+00   6.1950000e+00   1.1830130e+02   2.1811960e+02   8.5000000e+00
   1.0593000e+01   8.8000000e+00   1.1781200e+02   2.1836430e+02   9.0000000e+00
   2.5780000e+00   5.0110000e+00   1.1830130e+02   2.1787500e+02   9.5000000e+00
   1.1410000e+01   6.1950000e+00   1.1781200e+02   2.1836430e+02   1.0000000e+01
   6.1770000e+00   1.2352000e+01   1.1830130e+02   2.1836430e+02   1.0500000e+01
   1.7610000e+00   7.6160000e+00   1.1830130e+02   2.1811960e+02   1.1000000e+01
   6.1770000e+00   1.3299000e+01   1.1854590e+02   2.1811960e+02   1.1500000e+01
   4.2140000e+00   6.9050000e+00   1.1830130e+02   2.1860890e+02   1.2000000e+01
   1.0429000e+01   9.5100000e+00   1.1707800e+02   2.1909820e+02   1.2500000e+01
   1.0756000e+01   4.7740000e+00   1.1609940e+02   2.1689640e+02   1.3000000e+01
   4.0500000e+00   1.0694000e+01   1.1830130e+02   2.1885360e+02   1.3500000e+01
   7.3220000e+00   7.8530000e+00   1.1879060e+02   2.1885360e+02   1.4000000e+01
   6.0130000e+00   1.9930000e+01   1.1805660e+02   2.1934290e+02   1.4500000e+01
   9.2840000e+00   5.4850000e+00   1.1830130e+02   2.1934290e+02   1.5000000e+01
   6.8310000e+00   1.1168000e+01   1.1854590e+02   2.1860890e+02   1.5500000e+01
   6.0130000e+00   6.1950000e+00   1.1830130e+02   2.1689640e+02   1.6000000e+01
   1.4518000e+01   1.9330000e+00   1.1854590e+02   2.1860890e+02   1.6500000e+01
   6.1770000e+00   9.8500000e-01   1.1805660e+02   2.1909820e+02   1.7000000e+01
   4.8680000e+00   3.8270000e+00   1.1830130e+02   2.1909820e+02   1.7500000e+01
   5.3590000e+00   3.1170000e+00   1.1854590e+02   2.1934290e+02   1.8000000e+01
   1.3537000e+01   6.1950000e+00   1.1830130e+02   2.1934290e+02   1.8500000e+01
   6.1770000e+00   1.0931000e+01   1.1830130e+02   2.1909820e+02   1.9000000e+01
   5.5220000e+00   1.1642000e+01   1.1830130e+02   2.1909820e+02   1.9500000e+01
   1.0102000e+01   3.1170000e+00   1.1830130e+02   2.1934290e+02   2.0000000e+01
   4.0500000e+00   8.8000000e+00   1.1805660e+02   2.1909820e+02   2.0500000e+01
   3.8870000e+00   6.1950000e+00   1.1830130e+02   2.1885360e+02   2.1000000e+01
   1.0102000e+01   9.5100000e+00   1.1781200e+02   2.1909820e+02   2.1500000e+01
   1.0593000e+01   2.6430000e+00   1.1830130e+02   2.1909820e+02   2.2000000e+01
   7.4850000e+00   6.6690000e+00   1.1732260e+02   2.1934290e+02   2.2500000e+01
   8.9570000e+00   9.5100000e+00   1.1732260e+02   2.1885360e+02   2.3000000e+01
   2.9060000e+00   1.3773000e+01   1.1756730e+02   2.1885360e+02   2.3500000e+01
   6.8310000e+00   1.4010000e+01   1.1781200e+02   2.1885360e+02   2.4000000e+01
   7.9760000e+00   1.4246000e+01   1.1756730e+02   2.1885360e+02   2.4500000e+01
   2.0880000e+00   1.4483000e+01   1.1781200e+02   2.1885360e+02   2.5000000e+01
   5.8500000e+00   6.9050000e+00   1.1781200e+02   2.1885360e+02   2.5500000e+01
   7.3220000e+00   4.5370000e+00   1.1732260e+02   2.1860890e+02   2.6000000e+01
   4.2140000e+00   7.8530000e+00   1.1634400e+02   2.1860890e+02   2.6500000e+01
   3.5600000e+00   5.4850000e+00   1.1658870e+02   2.1885360e+02   2.7000000e+01
   1.1410000e+01   6.6690000e+00   1.1683330e+02   2.1860890e+02   2.7500000e+01
   2.2510000e+00   4.7740000e+00   1.1658870e+02   2.1885360e+02   2.8000000e+01
   9.6110000e+00   1.4590000e+00   1.1683330e+02   2.1885360e+02   2.8500000e+01
   1.2883000e+01   1.3536000e+01   1.1683330e+02   2.1836430e+02   2.9000000e+01
   3.0690000e+00   4.5370000e+00   1.1732260e+02   2.1787500e+02   2.9500000e+01
   2.4150000e+00   8.0890000e+00   1.1634400e+02   2.1787500e+02   3.0000000e+01
   3.3960000e+00   7.3790000e+00   1.1609940e+02   2.1836430e+02   3.0500000e+01
   6.1770000e+00   1.1878000e+01   1.1561010e+02   2.1787500e+02   3.1000000e+01
   3.7230000e+00   4.3010000e+00   1.1561010e+02   2.1689640e+02   3.1500000e+01
   1.1247000e+01   7.6160000e+00   1.1561010e+02   2.1787500e+02   3.2000000e+01
   8.1390000e+00   5.4850000e+00   1.1536540e+02   2.1763030e+02   3.2500000e+01
   5.3590000e+00   1.0458000e+01   1.1512080e+02   2.1738570e+02   3.3000000e+01
   7.9760000e+00   2.6430000e+00   1.1561010e+02   2.1714100e+02   3.3500000e+01
   4.8680000e+00   3.3530000e+00   1.1585470e+02   2.1738570e+02   3.4000000e+01
   4.0500000e+00   9.9840000e+00   1.1536540e+02   2.1763030e+02   3.4500000e+01
   8.1390000e+00   4.7740000e+00   1.1536540e+02   2.1763030e+02   3.5000000e+01
   5.0320000e+00   4.3010000e+00   1.1536540e+02   2.1763030e+02   3.5500000e+01
   5.8500000e+00   4.5370000e+00   1.1512080e+02   2.1763030e+02   3.6000000e+01
   5.1950000e+00   4.5370000e+00   1.1487610e+02   2.1763030e+02   3.6500000e+01
   8.3030000e+00   1.0458000e+01   1.1487610e+02   2.1738570e+02   3.7000000e+01
   3.3960000e+00   3.5900000e+00   1.1512080e+02   2.1689640e+02   3.7500000e+01
   5.8500000e+00   1.4246000e+01   1.1487610e+02   2.1689640e+02   3.8000000e+01
   1.1574000e+01   1.9330000e+00   1.1487610e+02   2.1787500e+02   3.8500000e+01
   5.8500000e+00   4.0640000e+00   1.1463150e+02   2.1763030e+02   3.9000000e+01
   1.2065000e+01   9.2740000e+00   1.1463150e+02   2.1738570e+02   3.9500000e+01
   3.7230000e+00   1.1405000e+01   1.1414220e+02   2.1738570e+02   4.0000000e+01
   1.5970000e+00   9.2740000e+00   1.1438680e+02   2.1689640e+02   4.0500000e+01
   5.5220000e+00   7.3790000e+00   1.1414220e+02   2.1738570e+02   4.1000000e+01
   6.5040000e+00   1.0458000e+01   1.1463150e+02   2.1689640e+02   4.1500000e+01
   3.7230000e+00   8.3260000e+00   1.1487610e+02   2.1665170e+02   4.2000000e+01
   9.7750000e+00   8.0890000e+00   1.1438680e+02   2.1665170e+02   4.2500000e+01
   2.4150000e+00   1.6960000e+00   1.1487610e+02   2.1689640e+02   4.3000000e+01
   3.7230000e+00   9.5100000e+00   1.1463150e+02   2.1714100e+02   4.3500000e+01
   3.7230000e+00   5.4850000e+00   1.1414220e+02   2.1714100e+02   4.4000000e+01
   5.5220000e+00   7.6160000e+00   1.1414220e+02   2.1689640e+02   4.4500000e+01
   3.2330000e+00   3.3530000e+00   1.1389750e+02   2.1714100e+02   4.5000000e+01
   1.1410000e+01   1.3062000e+01   1.1414220e+02   2.1738570e+02   4.5500000e+01
   8.9570000e+00   8.3260000e+00   1.1389750e+02   2.1738570e+02   4.6000000e+01
   4.5410000e+00   1.1642000e+01   1.1365290e+02   2.1689640e+02   4.6500000e+01
   1.4340000e+00   1.1642000e+01   1.1365290e+02   2.1689640e+02   4.7000000e+01
   8.3030000e+00   5.4850000e+00   1.1340820e+02   2.1665170e+02   4.7500000e+01
   8.3030000e+00   9.2740000e+00   1.1340820e+02   2.1640710e+02   4.8000000e+01
   9.1210000e+00   1.2589000e+01   1.1291890e+02   2.1640710e+02   4.8500000e+01
   9.4480000e+00   8.8000000e+00   1.1340820e+02   2.1616240e+02   4.9000000e+01
   7.3220000e+00   1.4957000e+01   1.1291890e+02   2.1640710e+02   4.9500000e+01
   1.4845000e+01   6.1950000e+00   1.1340820e+02   2.1567310e+02   5.0000000e+01
   8.1390000e+00   6.6690000e+00   1.1389750e+02   2.1567310e+02   5.0500000e+01
   7.9760000e+00   9.9840000e+00   1.1340820e+02   2.1567310e+02   5.1000000e+01
   5.0320000e+00   5.2480000e+00   1.1365290e+02   2.1567310e+02   5.1500000e+01
   6.6670000e+00  -1.3830000e+00   1.1389750e+02   2.1542840e+02   5.2000000e+01
   1.0920000e+01   5.9580000e+00   1.1365290e+02   2.1567310e+02   5.2500000e+01
   3.2330000e+00   9.9840000e+00   1.1365290e+02   2.1567310e+02   5.3000000e+01
   7.6490000e+00   1.1168000e+01   1.1389750e+02   2.1616240e+02   5.3500000e+01
   3.0690000e+00   8.5630000e+00   1.1365290e+02   2.1616240e+02   5.4000000e+01
   2.6621000e+01   1.1168000e+01   1.1316360e+02   2.1591770e+02   5.4500000e+01
   1.0593000e+01   1.2115000e+01   1.1414220e+02   2.1616240e+02   5.5000000e+01
   3.0690000e+00   9.5100000e+00   1.1438680e+02   2.1542840e+02   5.5500000e+01
   1.0756000e+01   2.8800000e+00   1.1365290e+02   2.1616240e+02   5.6000000e+01
   4.8680000e+00  -1.1460000e+00   1.1389750e+02   2.1567310e+02   5.6500000e+01
   6.8310000e+00   9.9840000e+00   1.1389750e+02   2.1591770e+02   5.7000000e+01
   1.2228000e+01   9.7470000e+00   1.1340820e+02   2.1591770e+02   5.7500000e+01
   9.6110000e+00   9.0370000e+00   1.1365290e+02   2.1591770e+02   5.8000000e+01
   9.2840000e+00   5.0110000e+00   1.1389750e+02   2.1567310e+02   5.8500000e+01
   2.5780000e+00   2.8800000e+00   1.1365290e+02   2.1542840e+02   5.9000000e+01
   7.8120000e+00   6.1950000e+00   1.1365290e+02   2.1567310e+02   5.9500000e+01
   1.0429000e+01   2.4060000e+00   1.1414220e+02   2.1542840e+02   6.0000000e+01
   2.7420000e+00   8.5630000e+00   1.1438680e+02   2.1567310e+02   6.0500000e+01
   6.5040000e+00   7.3790000e+00   1.1463150e+02   2.1567310e+02   6.1000000e+01
   1.4682000e+01   9.9840000e+00   1.1561010e+02   2.1567310e+02   6.1500000e+01
   3.2330000e+00   4.5370000e+00   1.1512080e+02   2.1567310e+02   6.2000000e+01
   1.1738000e+01   1.3062000e+01   1.1463150e+02   2.1616240e+02   6.2500000e+01
   2.0079000e+01   1.0458000e+01   1.1438680e+02   2.1640710e+02   6.3000000e+01
   3.5600000e+00   5.9580000e+00   1.1365290e+02   2.1689640e+02   6.3500000e+01
   1.1901000e+01   4.5370000e+00   1.1340820e+02   2.1763030e+02   6.4000000e+01
   1.0756000e+01   5.7210000e+00   1.1340820e+02   2.1689640e+02   6.4500000e+01
   4.0500000e+00   1.3062000e+01   1.1316360e+02   2.1591770e+02   6.5000000e+01
   4.2140000e+00   1.5194000e+01   1.1316360e+02   2.1591770e+02   6.5500000e+01
   8.4660000e+00   8.0890000e+00   1.1316360e+02   2.1542840e+02   6.6000000e+01
   7.3220000e+00  -4.3500000e-01   1.1316360e+02   2.1493910e+02   6.6500000e+01
   6.3400000e+00   1.0694000e+01   1.1316360e+02   2.1542840e+02   6.7000000e+01
   1.0266000e+01   7.1420000e+00   1.1242960e+02   2.1542840e+02   6.7500000e+01
   4.2140000e+00   1.0694000e+01   1.1340820e+02   2.1469450e+02   6.8000000e+01
   4.7050000e+00   1.0458000e+01   1.1340820e+02   2.1469450e+02   6.8500000e+01
   7.1580000e+00   9.2740000e+00   1.1316360e+02   2.1469450e+02   6.9000000e+01
   4.5410000e+00   6.6690000e+00   1.1316360e+02   2.1493910e+02   6.9500000e+01
   1.5336000e+01   3.5900000e+00   1.1316360e+02   2.1518380e+02   7.0000000e+01
   2.9060000e+00   5.0110000e+00   1.1316360e+02   2.1469450e+02   7.0500000e+01
   9.2840000e+00   7.3790000e+00   1.1120630e+02   2.1469450e+02   7.1000000e+01
   6.0130000e+00   5.0110000e+00   1.1267420e+02   2.1444980e+02   7.1500000e+01
   6.6670000e+00   8.3260000e+00   1.1291890e+02   2.1493910e+02   7.2000000e+01
   1.5499000e+01   5.2480000e+00   1.1267420e+02   2.1493910e+02   7.2500000e+01
   5.5220000e+00   9.5100000e+00   1.1291890e+02   2.1444980e+02   7.3000000e+01
   6.3400000e+00   5.4850000e+00   1.1316360e+02   2.1469450e+02   7.3500000e+01
   5.3590000e+00   5.0110000e+00   1.1291890e+02   2.1493910e+02   7.4000000e+01
   5.3590000e+00   1.2352000e+01   1.1267420e+02   2.1493910e+02   7.4500000e+01
   4.3780000e+00   1.6614000e+01   1.1291890e+02   2.1493910e+02   7.5000000e+01
   3.8870000e+00   9.2740000e+00   1.1267420e+02   2.1493910e+02   7.5500000e+01
   9.2840000e+00   1.2352000e+01   1.1291890e+02   2.1518380e+02   7.6000000e+01
   8.9570000e+00   2.7500000e-01   1.1316360e+02   2.1469450e+02   7.6500000e+01
   8.6300000e+00   5.7210000e+00   1.1267420e+02   2.1444980e+02   7.7000000e+01
   6.0130000e+00   7.3790000e+00   1.1267420e+02   2.1493910e+02   7.7500000e+01
   1.1247000e+01   1.1405000e+01   1.1291890e+02   2.1444980e+02   7.8000000e+01
   2.1715000e+01   1.0221000e+01   1.1316360e+02   2.1493910e+02   7.8500000e+01
   4.5410000e+00   6.9050000e+00   1.1267420e+02   2.1518380e+02   7.9000000e+01
   4.5410000e+00   3.5900000e+00   1.1291890e+02   2.1518380e+02   7.9500000e+01
   1.1083000e+01   8.3260000e+00   1.1120630e+02   2.1518380e+02   8.0000000e+01
   1.2392000e+01   8.8000000e+00   1.1340820e+02   2.1493910e+02   8.0500000e+01
   6.9940000e+00  -9.0900000e-01   1.1291890e+02   2.1493910e+02   8.1000000e+01
   5.8500000e+00   3.1170000e+00   1.1267420e+02   2.1591770e+02   8.1500000e+01
   2.5780000e+00   7.3790000e+00   1.1316360e+02   2.1567310e+02   8.2000000e+01
   2.0733000e+01   6.4320000e+00   1.1365290e+02   2.1542840e+02   8.2500000e+01
   1.2228000e+01   1.1642000e+01   1.1340820e+02   2.1542840e+02   8.3000000e+01
   9.6110000e+00   5.0110000e+00   1.1414220e+02   2.1567310e+02   8.3500000e+01
   4.3780000e+00   5.7210000e+00   1.1487610e+02   2.1567310e+02   8.4000000e+01
   7.4850000e+00   1.2115000e+01   1.1487610e+02   2.1616240e+02   8.4500000e+01
   7.4850000e+00   1.2115000e+01   1.1609940e+02   2.1616240e+02   8.5000000e+01
   5.6860000e+00   3.8270000e+00   1.1634400e+02   2.1689640e+02   8.5500000e+01
   4.2140000e+00   5.4850000e+00   1.1658870e+02   2.1689640e+02   8.6000000e+01
   1.0593000e+01   3.8270000e+00   1.1609940e+02   2.1763030e+02   8.6500000e+01
   6.3400000e+00   7.6160000e+00   1.1634400e+02   2.1836430e+02   8.7000000e+01
   2.9060000e+00   7.8530000e+00   1.1683330e+02   2.1909820e+02   8.7500000e+01
   3.7230000e+00   1.0931000e+01   1.1707800e+02   2.1909820e+02   8.8000000e+01
   5.5220000e+00   5.7210000e+00   1.1707800e+02   2.1958750e+02   8.8500000e+01
   1.4682000e+01   7.8530000e+00   1.1658870e+02   2.1909820e+02   8.9000000e+01
   5.6860000e+00   7.4900000e-01   1.1683330e+02   2.1909820e+02   8.9500000e+01
   8.3030000e+00   1.6960000e+00   1.1658870e+02   2.1934290e+02   9.0000000e+01
   9.6110000e+00   6.1950000e+00   1.1634400e+02   2.1958750e+02   9.0500000e+01
   3.0690000e+00   7.6160000e+00   1.1683330e+02   2.1983220e+02   9.1000000e+01
   1.0593000e+01   6.4320000e+00   1.1683330e+02   2.1958750e+02   9.1500000e+01
   5.1950000e+00  -1.9900000e-01   1.1707800e+02   2.1983220e+02   9.2000000e+01
   7.8120000e+00   1.1878000e+01   1.1658870e+02   2.1983220e+02   9.2500000e+01
   4.2140000e+00   7.8530000e+00   1.1658870e+02   2.1958750e+02   9.3000000e+01
   6.9940000e+00  -4.3500000e-01   1.1732260e+02   2.2007680e+02   9.3500000e+01
   1.2555000e+01   7.8530000e+00   1.1683330e+02   2.2007680e+02   9.4000000e+01
   4.5410000e+00   1.3536000e+01   1.1879060e+02   2.2032150e+02   9.4500000e+01
   4.2140000e+00   9.7470000e+00   1.1683330e+02   2.2032150e+02   9.5000000e+01
   6.5040000e+00   1.1168000e+01   1.1707800e+02   2.2007680e+02   9.5500000e+01
   7.8120000e+00   9.9840000e+00   1.1658870e+02   2.1958750e+02   9.6000000e+01
   1.1083000e+01   1.5194000e+01   1.1683330e+02   2.1958750e+02   9.6500000e+01
   1.5970000e+00   3.8000000e-02   1.1634400e+02   2.1958750e+02   9.7000000e+01
   2.7420000e+00   7.3790000e+00   1.1658870e+02   2.1958750e+02   9.7500000e+01
   1.7610000e+00   9.7470000e+00   1.1634400e+02   2.1983220e+02   9.8000000e+01
   6.1770000e+00   2.1690000e+00   1.1634400e+02   2.1885360e+02   9.8500000e+01
   8.7940000e+00   9.9840000e+00   1.1634400e+02   2.1934290e+02   9.9000000e+01
   1.2700000e+00   1.4720000e+01   1.1609940e+02   2.1958750e+02   9.9500000e+01
   6.6670000e+00   9.9840000e+00   1.1609940e+02   2.1958750e+02   1.0000000e+02
   6.9940000e+00   1.0458000e+01   1.1634400e+02   2.1909820e+02   1.0050000e+02
   5.5220000e+00   6.1950000e+00   1.1585470e+02   2.1934290e+02   1.0100000e+02
   2.4150000e+00   6.1950000e+00   1.1585470e+02   2.1885360e+02   1.0150000e+02
   8.1390000e+00   2.1690000e+00   1.1585470e+02   2.1860890e+02   1.0200000e+02
   9.2840000e+00   6.1950000e+00   1.1561010e+02   2.1909820e+02   1.0250000e+02
   5.5220000e+00   1.9330000e+00   1.1561010e+02   2.1909820e+02   1.0300000e+02
   8.7940000e+00   7.1420000e+00   1.1561010e+02   2.1885360e+02   1.0350000e+02
   4.8680000e+00   1.8035000e+01   1.1536540e+02   2.1860890e+02   1.0400000e+02
   3.5600000e+00   8.5630000e+00   1.1512080e+02   2.1909820e+02   1.0450000e+02
   7.9760000e+00   3.1170000e+00   1.1561010e+02   2.1860890e+02   1.0500000e+02
   1.1738000e+01   7.1420000e+00   1.1585470e+02   2.1689640e+02   1.0550000e+02
   7.1580000e+00   9.8500000e-01   1.1512080e+02   2.1689640e+02   1.0600000e+02
   6.0130000e+00   8.5630000e+00   1.1512080e+02   2.1787500e+02   1.0650000e+02
   4.8680000e+00   8.8000000e+00   1.1487610e+02   2.1763030e+02   1.0700000e+02
   6.0130000e+00   6.9050000e+00   1.1487610e+02   2.1689640e+02   1.0750000e+02
   7.8120000e+00   3.3530000e+00   1.1438680e+02   2.1738570e+02   1.0800000e+02
   1.4355000e+01   1.2589000e+01   1.1414220e+02   2.1763030e+02   1.0850000e+02
   7.1580000e+00   5.0110000e+00   1.1414220e+02   2.1714100e+02   1.0900000e+02
   2.7420000e+00   1.5667000e+01   1.1438680e+02   2.1763030e+02   1.0950000e+02
   7.3220000e+00   6.9050000e+00   1.1414220e+02   2.1665170e+02   1.1000000e+02
   3.8870000e+00   1.1168000e+01   1.1438680e+02   2.1591770e+02   1.1050000e+02
   7.8120000e+00   1.6960000e+00   1.1438680e+02   2.1616240e+02   1.1100000e+02
   1.3864000e+01   1.6378000e+01   1.1438680e+02   2.1640710e+02   1.1150000e+02
   1.0920000e+01   8.3260000e+00   1.1438680e+02   2.1665170e+02   1.1200000e+02
   1.4682000e+01   2.8800000e+00   1.1438680e+02   2.1665170e+02   1.1250000e+02
   7.4850000e+00   5.7210000e+00   1.1414220e+02   2.1714100e+02   1.1300000e+02
   5.0320000e+00   4.7740000e+00   1.1389750e+02   2.1714100e+02   1.1350000e+02
   3.8870000e+00   6.4320000e+00   1.1414220e+02   2.1665170e+02   1.1400000e+02
   9.6110000e+00   1.7798000e+01   1.1365290e+02   2.1616240e+02   1.1450000e+02
   9.1210000e+00   4.5370000e+00   1.1316360e+02   2.1616240e+02   1.1500000e+02
   3.1855000e+01   2.4060000e+00   1.1291890e+02   2.1616240e+02   1.1550000e+02
   1.1060000e+00   6.4320000e+00   1.1267420e+02   2.1567310e+02   1.1600000e+02
   1.1083000e+01   5.7210000e+00   1.1242960e+02   2.1493910e+02   1.1650000e+02
   7.3220000e+00   8.8000000e+00   1.1242960e+02   2.1542840e+02   1.1700000e+02
   8.7940000e+00   7.3790000e+00   1.1242960e+02   2.1518380e+02   1.1750000e+02
   8.4660000e+00   7.8530000e+00   1.1218490e+02   2.1420520e+02   1.1800000e+02
   3.5600000e+00   5.0110000e+00   1.1218490e+02   2.1298190e+02   1.1850000e+02
   4.2140000e+00   4.3010000e+00   1.1242960e+02   2.1420520e+02   1.1900000e+02
   4.8680000e+00   2.8800000e+00   1.1218490e+02   2.1396050e+02   1.1950000e+02
   9.4480000e+00   8.3260000e+00   1.1242960e+02   2.1396050e+02   1.2000000e+02
   8.6300000e+00   9.7470000e+00   1.1169560e+02   2.1444980e+02   1.2050000e+02
   3.2330000e+00   4.7740000e+00   1.1242960e+02   2.1420520e+02   1.2100000e+02
   8.7940000e+00   1.1405000e+01   1.1242960e+02   2.1298190e+02   1.2150000e+02
   8.6300000e+00   5.7210000e+00   1.1169560e+02   2.1347120e+02   1.2200000e+02
   1.0102000e+01   1.0458000e+01   1.1194030e+02   2.1371590e+02   1.2250000e+02
   5.6860000e+00   1.4010000e+01   1.1218490e+02   2.1298190e+02   1.2300000e+02
   3.3960000e+00   1.1168000e+01   1.1218490e+02   2.1396050e+02   1.2350000e+02
   3.7230000e+00   1.0458000e+01   1.1218490e+02   2.1396050e+02   1.2400000e+02
   4.7050000e+00   7.1420000e+00   1.1194030e+02   2.1347120e+02   1.2450000e+02
   7.3220000e+00   9.9840000e+00   1.1169560e+02   2.1371590e+02   1.2500000e+02
   2.4150000e+00   5.9580000e+00   1.1194030e+02   2.1298190e+02   1.2550000e+02
   2.2510000e+00   6.1950000e+00   1.1194030e+02   2.1298190e+02   1.2600000e+02
   1.0429000e+01   9.9840000e+00   1.1242960e+02   2.1347120e+02   1.2650000e+02
   3.5600000e+00   3.3530000e+00   1.1218490e+02   2.1371590e+02   1.2700000e+02
   9.7750000e+00   1.0694000e+01   1.1218490e+02   2.1347120e+02   1.2750000e+02
   8.9570000e+00   7.1420000e+00   1.1194030e+02   2.1322660e+02   1.2800000e+02
   7.4850000e+00   8.8000000e+00   1.1218490e+02   2.1347120e+02   1.2850000e+02
   5.6860000e+00   9.9840000e+00   1.1218490e+02   2.1322660e+02   1.2900000e+02
   6.3400000e+00   9.0370000e+00   1.1120630e+02   2.1347120e+02   1.2950000e+02
   1.2700000e+00   1.1642000e+01   1.1169560e+02   2.1298190e+02   1.3000000e+02
   1.4518000e+01   9.8500000e-01   1.1169560e+02   2.1420520e+02   1.3050000e+02
   5.3590000e+00   1.1405000e+01   1.1169560e+02   2.1322660e+02   1.3100000e+02
   1.0429000e+01   3.1170000e+00   1.1194030e+02   2.1298190e+02   1.3150000e+02
   7.8120000e+00   4.5370000e+00   1.1194030e+02   2.1347120e+02   1.3200000e+02
   1.1901000e+01   5.2480000e+00   1.1218490e+02   2.1273730e+02   1.3250000e+02
   9.6110000e+00   9.5100000e+00   1.1169560e+02   2.1322660e+02   1.3300000e+02
   5.8500000e+00   8.5630000e+00   1.1218490e+02   2.1347120e+02   1.3350000e+02
   6.8310000e+00   3.1170000e+00   1.1194030e+02   2.1322660e+02   1.3400000e+02
   7.4850000e+00   5.7210000e+00   1.1169560e+02   2.1273730e+02   1.3450000e+02
   1.9240000e+00   6.4320000e+00   1.1218490e+02   2.1298190e+02   1.3500000e+02
   4.8680000e+00   1.2589000e+01   1.1096170e+02   2.1371590e+02   1.3550000e+02
   1.3046000e+01   8.3260000e+00   1.1169560e+02   2.1371590e+02   1.3600000e+02
   1.1901000e+01   1.0221000e+01   1.1120630e+02   2.1322660e+02   1.3650000e+02
   3.2330000e+00   1.3536000e+01   1.1120630e+02   2.1322660e+02   1.3700000e+02
   9.2840000e+00   7.1420000e+00   1.1145100e+02   2.1322660e+02   1.3750000e+02
   4.0500000e+00   5.2480000e+00   1.1022770e+02   2.1371590e+02   1.3800000e+02
   4.2140000e+00   2.6430000e+00   1.0998310e+02   2.1347120e+02   1.3850000e+02
   1.1410000e+01   8.3260000e+00   1.1022770e+02   2.1347120e+02   1.3900000e+02
   7.4850000e+00  -1.1460000e+00   1.1071700e+02   2.1396050e+02   1.3950000e+02
   5.8500000e+00   1.3062000e+01   1.1022770e+02   2.1371590e+02   1.4000000e+02
   6.6670000e+00   7.6160000e+00   1.1120630e+02   2.1298190e+02   1.4050000e+02
   7.3220000e+00   4.3010000e+00   1.1145100e+02   2.1298190e+02   1.4100000e+02
   6.5040000e+00   3.1170000e+00   1.1169560e+02   2.1322660e+02   1.4150000e+02
