This is Dataplot data file   DORKO2.DAT
Phase 2: GASIE Sulfur Dioxide Study (Lewes, Delaware, 9/94)
NIST Contact: Bill Dorko
Response Variable = SO2 Concentration (in parts per trillion)
Number of observations = 320
Number of variables = 5
Order of variables on a line image--
   1. Response Variable = Sulfur Dioxide concentration (ppt)
   2. Factor 1 = Day (1 to 5)
   3. Factor 2 = Time of Day (1 to 5)
   4. Factor 3 = Laboratory (1 to 8)
   5. Factor 4 = Relative Humidity (1 to 5)
             1 = dry; 2 = medium; 3 = wet2; 4 = wet1; 5 = wet3
             1 =  0%; 2 =    35%; 3 =  55%; 4 =  70%; 5 = 60 to 80%
Note: some data was not detected     (Y coded as -5)
      some data was "missing"        (Y coded as -10)
Statistical Category: multi-factor
To read this into Dataplot--
   SKIP 25
   READ DORKO2.DAT Y LAB DAY TOD RELHUM
 
 
Measured  Lab    Run   Day   Tod  RelHum
SO2 Conc
----------------------------------------
   31      1     26      1      1      2
  148      1     27      1      2      2
  593      1     28      1      3      2
   51      1     29      1      4      4
  150      1     30      1      5      1
   41      1     31      2      1      2
  346      1     32      2      2      4
  173      1     33      2      3      1
   13      1     34      2      4      3
  451      1     35      2      5      3
  265      1     36      3      1      1
   19      1     37      3      2      1
   17      1     38      3      3      1
  435      1     39      3      4      1
  247      1     40      3      5      1
    9      1     41      4      1      2
   45      1     42      4      2      2
   33      1     43      4      3      2
  466      1     44      4      4      2
  135      1     45      4      5      2
   36      1     46      5      1      2
   25      1     47      5      2      2
  109      1     48      5      3      2
  249      1     49      5      4      2
  850      1     50      5      5      2
    9      1     91      6      1      5
   18      1     92      6      2      5
   39      1     93      6      3      5
  116      1     94      6      4      5
  382      1     95      6      5      5
   27      1     96      7      1      5
   53      1     97      7      2      5
   29      1     98      7      3      5
  571      1     99      7      4      5
  165      1    100      7      5      5
   -5      1    101      8      1      5
  122      1    102      8      2      5
  502      1    103      8      3      5
  173      1    104      8      4      1
   50      1    105      8      5      5
 
   64      2     26      1      1      2
  149      2     27      1      2      2
  461      2     28      1      3      2
   98      2     29      1      4      4
  128      2     30      1      5      1
   34      2     31      2      1      2
  -10      2     32      2      2      4
  140      2     33      2      3      1
   11      2     34      2      4      3
  410      2     35      2      5      3
  242      2     36      3      1      1
   -5      2     37      3      2      1
   15      2     38      3      3      1
  469      2     39      3      4      1
  258      2     40      3      5      1
   -5      2     41      4      1      2
   13      2     42      4      2      2
   31      2     43      4      3      2
  411      2     44      4      4      2
  122      2     45      4      5      2
   27      2     46      5      1      2
   -5      2     47      5      2      2
   51      2     48      5      3      2
  156      2     49      5      4      2
  419      2     50      5      5      2
   21      2     91      6      1      5
   63      2     92      6      2      5
   74      2     93      6      3      5
  238      2     94      6      4      5
