This is Dataplot data file   DORKO2.DAT
Phase 2: GASIE Sulfur Dioxide Study (Lewes, Delaware, 9/94)
NIST Contact: Bill Dorko
Response Variable = SO2 Concentration (in parts per trillion)
Number of observations = 320
Number of variables = 5
Order of variables on a line image--
   1. Response Variable = Sulfur Dioxide concentration (ppt)
   2. Factor 1 = Day (1 to 5)
   3. Factor 2 = Time of Day (1 to 5)
   4. Factor 3 = Laboratory (1 to 8)
   5. Factor 4 = Relative Humidity (1 to 5)
             1 = dry; 2 = medium; 3 = wet2; 4 = wet1; 5 = wet3
             1 =  0%; 2 =    35%; 3 =  55%; 4 =  70%; 5 = 60 to 80%
Note: some data was not detected     (Y coded as -5)
      some data was "missing"        (Y coded as -10)
Statistical Category: multi-factor
To read this into Dataplot--
   SKIP 25
   READ DORKO2.DAT Y LAB DAY TOD RELHUM
 
 
Measured  Lab    Run   Day   Tod  RelHum
  684      2     95      6      5      5
   -5      2     96      7      1      5
   77      2     97      7      2      5
   24      2     98      7      3      5
  649      2     99      7      4      5
  184      2    100      7      5      5
   11      2    101      8      1      5
  168      2    102      8      2      5
  659      2    103      8      3      5
  199      2    104      8      4      1
   68      2    105      8      5      5
 
   51      3     26      1      1      2
  129      3     27      1      2      2
  481      3     28      1      3      2
  -10      3     29      1      4      4
  135      3     30      1      5      1
   58      3     31      2      1      2
  -10      3     32      2      2      4
  146      3     33      2      3      1
   50      3     34      2      4      3
  415      3     35      2      5      3
  232      3     36      3      1      1
    0      3     37      3      2      1
  -10      3     38      3      3      1
  -10      3     39      3      4      1
  -10      3     40      3      5      1
    3      3     41      4      1      2
   25      3     42      4      2      2
   18      3     43      4      3      2
  279      3     44      4      4      2
   72      3     45      4      5      2
   10      3     46      5      1      2
    0      3     47      5      2      2
   25      3     48      5      3      2
   99      3     49      5      4      2
  276      3     50      5      5      2
    6      3     91      6      1      5
   20      3     92      6      2      5
   38      3     93      6      3      5
  105      3     94      6      4      5
  394      3     95      6      5      5
   18      3     96      7      1      5
   39      3     97      7      2      5
   19      3     98      7      3      5
  415      3     99      7      4      5
  112      3    100      7      5      5
    1      3    101      8      1      5
  103      3    102      8      2      5
  394      3    103      8      3      5
  127      3    104      8      4      1
   36      3    105      8      5      5
 
   26      4     26      1      1      2
   84      4     27      1      2      2
  374      4     28      1      3      2
   47      4     29      1      4      4
  137      4     30      1      5      1
   53      4     31      2      1      2
  277      4     32      2      2      4
  134      4     33      2      3      1
   47      4     34      2      4      3
  358      4     35      2      5      3
  215      4     36      3      1      1
   27      4     37      3      2      1
   46      4     38      3      3      1
  409      4     39      3      4      1
  220      4     40      3      5      1
   48      4     41      4      1      2
   60      4     42      4      2      2
   49      4     43      4      3      2
  342      4     44      4      4      2
  119      4     45      4      5      2
   34      4     46      5      1      2
   34      4     47      5      2      2
   50      4     48      5      3      2
  123      4     49      5      4      2
  305      4     50      5      5      2
   11      4     91      6      1      5
   31      4     92      6      2      5
   50      4     93      6      3      5
  129      4     94      6      4      5
  470      4     95      6      5      5
   32      4     96      7      1      5
   53      4     97      7      2      5
   30      4     98      7      3      5
  519      4     99      7      4      5
  146      4    100      7      5      5
   31      4    101      8      1      5
  158      4    102      8      2      5
  500      4    103      8      3      5
  192      4    104      8      4      1
   86      4    105      8      5      5
 
   87      5     26      1      1      2
  141      5     27      1      2      2
  410      5     28      1      3      2
  730      5     29      1      4      4
   93      5     30      1      5      1
   97      5     31      2      1      2
  769      5     32      2      2      4
  136      5     33      2      3      1
  452      5     34      2      4      3
  623      5     35      2      5      3
  182      5     36      3      1      1
   28      5     37      3      2      1
   46      5     38      3      3      1
  418      5     39      3      4      1
  230      5     40      3      5      1
  161      5     41      4      1      2
  189      5     42      4      2      2
  247      5     43      4      3      2
  472      5     44      4      4      2
  195      5     45      4      5      2
   51      5     46      5      1      2
  -10      5     47      5      2      2
  177      5     48      5      3      2
  194      5     49      5      4      2
  385      5     50      5      5      2
  613      5     91      6      1      5
  401      5     92      6      2      5
  447      5     93      6      3      5
  328      5     94      6      4      5
  629      5     95      6      5      5
  400      5     96      7      1      5
  322      5     97      7      2      5
  423      5     98      7      3      5
  481      5     99      7      4      5
  510      5    100      7      5      5
  936      5    101      8      1      5
  613      5    102      8      2      5
  843      5    103      8      3      5
  213      5    104      8      4      1
  698      5    105      8      5      5
 
   24      6     26      1      1      2
   95      6     27      1      2      2
  442      6     28      1      3      2
    6      6     29      1      4      4
  134      6     30      1      5      1
   33      6     31      2      1      2
  240      6     32      2      2      4
  121      6     33      2      3      1
    5      6     34      2      4      3
  290      6     35      2      5      3
  200      6     36      3      1      1
   -2      6     37      3      2      1
   16      6     38      3      3      1
  411      6     39      3      4      1
  223      6     40      3      5      1
    7      6     41      4      1      2
   27      6     42      4      2      2
   21      6     43      4      3      2
  291      6     44      4      4      2
   91      6     45      4      5      2
  -10      6     46      5      1      2
    5      6     47      5      2      2
   32      6     48      5      3      2
  117      6     49      5      4      2
  330      6     50      5      5      2
    6      6     91      6      1      5
   28      6     92      6      2      5
   54      6     93      6      3      5
  155      6     94      6      4      5
  613      6     95      6      5      5
   25      6     96      7      1      5
   53      6     97      7      2      5
   28      6     98      7      3      5
  603      6     99      7      4      5
  174      6    100      7      5      5
    6      6    101      8      1      5
  141      6    102      8      2      5
  569      6    103      8      3      5
  194      6    104      8      4      1
   63      6    105      8      5      5
 
  127      7     26      1      1      2
  191      7     27      1      2      2
  604      7     28      1      3      2
  258      7     29      1      4      4
  144      7     30      1      5      1
  112      7     31      2      1      2
  145      7     32      2      2      4
  154      7     33      2      3      1
  133      7     34      2      4      3
  534      7     35      2      5      3
  236      7     36      3      1      1
    0      7     37      3      2      1
   19      7     38      3      3      1
  496      7     39      3      4      1
  257      7     40      3      5      1
   41      7     41      4      1      2
   76      7     42      4      2      2
   83      7     43      4      3      2
  512      7     44      4      4      2
  167      7     45      4      5      2
   54      7     46      5      1      2
   32      7     47      5      2      2
   87      7     48      5      3      2
  208      7     49      5      4      2
  502      7     50      5      5      2
   62      7     91      6      1      5
   94      7     92      6      2      5
  100      7     93      6      3      5
  183      7     94      6      4      5
  647      7     95      6      5      5
   72      7     96      7      1      5
  110      7     97      7      2      5
   82      7     98      7      3      5
  649      7     99      7      4      5
  209      7    100      7      5      5
   42      7    101      8      1      5
  198      7    102      8      2      5
  628      7    103      8      3      5
  190      7    104      8      4      1
  102      7    105      8      5      5
 
   24      8     26      1      1      2
  171      8     27      1      2      2
  677      8     28      1      3      2
   56      8     29      1      4      4
  171      8     30      1      5      1
   56      8     31      2      1      2
  677      8     32      2      2      4
  171      8     33      2      3      1
    0      8     34      2      4      3
  677      8     35      2      5      3
  352      8     36      3      1      1
    0      8     37      3      2      1
   24      8     38      3      3      1
  677      8     39      3      4      1
  352      8     40      3      5      1
    0      8     41      4      1      2
   56      8     42      4      2      2
   24      8     43      4      3      2
  677      8     44      4      4      2
  171      8     45      4      5      2
   24      8     46      5      1      2
    0      8     47      5      2      2
   56      8     48      5      3      2
  171      8     49      5      4      2
  677      8     50      5      5      2
    0      8     91      6      1      5
   24      8     92      6      2      5
   56      8     93      6      3      5
  171      8     94      6      4      5
  677      8     95      6      5      5
   24      8     96      7      1      5
   56      8     97      7      2      5
   24      8     98      7      3      5
  677      8     99      7      4      5
  171      8    100      7      5      5
    0      8    101      8      1      5
  171      8    102      8      2      5
  677      8    103      8      3      5
  171      8    104      8      4      1
   56      8    105      8      5      5
