WEEKLY (ROUGHLY) NITROUS OXIDE READINGS AT AMERICAN SAMOA 1/77 TO 12/86
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = SMON2O_WK.DAT
NUMBER OF OBSERVATIONS = 888
RESPONSE VARIABLE = MEAN NITROUS OXIDE CONCENTRATION (IN PARTS PER ???)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1977 TO 1986)
   2. DAY OF YEAR (1 TO 365)
   3. SAMPLE BOTTLE (OF ONLY MINOR INTEREST)
   4. STANDARD DEVIATION (OVER 3 OBSERVATIONS)
   5. MEAN (OVER 3 OBSERVATIONS) NITROUS OXIDE CONCENTRATION (PP?)
   6. VALIDITY FLAG (ONLY USE DATA WITH FLAG = 0)
   7. WATER VAPOR
   8. CO2
NOTE--ONLY USE DATA WITH VALIDTY FLAG = 0
      POLLUTION = COMBINATION OF HIGH CO2 AND HIGH FREON
                  WHEN FREON HIGH, EXPECT HIGH CO2 (POLLUTION)
                  CO2 COMES FROM COMBUSITON OF FOSSIL FUELS
                  FREON COME FROM AIR CONDITIONS
      AT MOST SITES, THERE SHOULD BE A SEASONAL EFFECT FOR CO2
      AT POINT BARROW, THERE IS ALSO A SEASONAL EFFECT FOR FREON-11
QUESTIONS--
   TRENDS AND CYCLES OVER TIME?
   RELATIONSHIP BETWEEN FREON AND WATER VAPOR?
   RELATIONSHIP BETWEEN FREON AND CO2?
   SAME PATTERNS AT ALL 5 SITES?
1977  91 119  0.0   0.0 52   1.0182 -99.9900
1977  98 120  0.0   0.0 52   1.0196 -99.9900
1977 109 121  0.0   0.0 52   1.0202 -99.9900
1977 120 122  0.0   0.0 52   1.0194 -99.9900
1977 125 123  0.0   0.0 52   1.0185 -99.9900
1977 134 124  0.0   0.0 52   1.0194 -99.9900
1977 139 125  0.0   0.0 52   1.0187 -99.9900
1977 146 126  0.0   0.0 52   1.0162 -99.9900
1977 156 127  0.0   0.0 52   1.0159 -99.9900
1977 161 128  0.0   0.0 52   1.0191 -99.9900
1977 169 129  0.0 324.7 36   1.0158 333.5500
1977 174 130 14.0 325.1 37   1.0174 334.8000
1977 180 131  2.4 330.0 36   1.0187 332.5300
1977 195 132 10.7 323.9 37   1.0190 334.2500
1977 208 133  3.4 300.3 32   1.0187 332.6000
1977 216 134 11.5 309.2 37   1.0148 333.3000
1977 224 135 15.5 294.5  1   1.0076 332.6100
1977 224 135  7.6 294.7  1   1.0076 332.6100
1977 231 136 11.6 316.0  5   1.0084 332.8800
1977 231 136 15.7 312.9  5   1.0084 332.8800
1977 237 137 10.2 343.8  5   1.0085 333.0900
1977 237 137 39.3 350.3  7   1.0085 333.0900
1977 243 138  4.8 370.3 21   1.0077 -99.9900
1977 243 138  2.6 377.2 22   1.0077 -99.9900
1977 257 139  4.1 316.7  5   1.0075 332.9000
1977 257 139 11.1 307.8  7   1.0075 332.9000
1977 264 140 13.4 294.8  1   1.0078 332.6900
1977 264 140  6.4 303.9  7   1.0078 332.6900
1977 271 141  3.4 377.0 20   1.0079 -99.9900
1977 271 141  5.2 384.9 23   1.0079 -99.9900
1977 280 142  5.0 309.4  5   1.0083 332.8100
1977 280 142  7.9 303.5  5   1.0083 332.8100
1977 289 143  1.3 297.6  0   1.0083 332.9700
1977 289 143  9.4 296.3  1   1.0083 332.9700
1977 293 144  2.0 296.0  2
1977 293 144  3.2 305.8  6   1.0072 333.5600
1977 302 145  1.1 279.7  4   1.0069 333.7000
1977 302 145  9.1 289.7  3   1.0069 333.7000
1977 307 146  5.3 299.9  1   1.0072 333.0000
1977 307 146  7.7 296.5  1   1.0072 333.0000
1977 314 147  2.7 299.7  0   1.0078 333.7000
1977 314 147 12.4 299.9  1   1.0078 333.7000
1977 321 148  3.3 296.1  0   1.0073 333.2000
1977 321 148  1.3 297.0  0   1.0073 333.2000
1977 328 149  6.9 294.9  1   1.0071 332.5000
1977 328 149  3.6 294.1  0   1.0071 332.5000
1977 337 150  8.3 294.5  1   1.0071 333.4000
1977 337 150  3.9 300.4  1   1.0071 333.4000
1977 341 151  3.8 292.7  2
1977 341 151  0.9 313.0  6   1.0071 333.6000
1977 349 152 15.2 290.3  1   1.0073 333.7000
1977 349 152  9.1 297.1  3   1.0073 333.7000
1977 364 153  6.3 289.8  1   1.0073 334.0000
1977 364 153  6.9 298.2  3   1.0073 334.0000
1978   5 154  5.4 298.3  1   1.0074 334.0000
1978   5 154  2.1 296.6  0   1.0074 334.0000
1978  15 155 10.4 298.9  1   1.0076 334.0000
1978  15 155  6.1 300.5  1   1.0076 334.0000
1978  21 156  9.7 295.2  1   1.0072 334.0000
1978  21 156  8.0 293.3  1   1.0072 334.0000
1978  33 157  4.8 299.3  1   1.0082 333.7200
1978  33 157  3.3 300.8  0   1.0082 333.7200
1978  42 158  5.7 297.0  1   1.0075 334.3600
1978  42 158  2.0 296.2  0   1.0075 334.3600
1978  61 159  5.6 298.5  1   1.0078 333.7600
1978  61 159  3.7 297.0  0   1.0078 333.7600
1978  68 160  5.4 293.3  1   1.0077 334.6100
1978  68 160  3.5 298.4  0   1.0077 334.6100
1978  81 161  0.0   0.0 20   1.0089 -99.9900
1978  81 161  0.0   0.0 20   1.0089 -99.9900
1978  87 162  0.0 303.0  0   1.0085 335.2200
1978  87 162  3.1 304.8  4   1.0085 335.2200
