----------  *AREA CODES2*  ----------

UNITED STATES AREA CODES (SORTED NUMERICALLY)
(50 STATES AND D.C.)     YEAR = 1987
CALIFORNIA          415--SAN FRANCISCO
MISSOURI            417--JOPLIN, SPRINGFIELD,
OHIO                419--TOLEDO

ARKANSAS            501
KENTUCKY            502 606 812
KENTUCKY            502--FRANKFORD, LOUISVILLE, SHELBYVILLE
OREGON              503
LOUISIANA           504--BATON ROUGE, NEW ORLEANS
NEW MEXICO          505
MINNESOTA           507--ALBERT LEA, CLAREMONT, ROCHESTER
WASHINGTON          509--PULLMAN, SPOKANE, WALLA WALLA
TEXAS               512--AUSTIN, CORPUS CHRISTI, SAN ANTONIO
OHIO                513--DAYTON
IOWA                515--DES MOINES, MASON CITY
NEW YORK            516--BABYLON, HEMPSTEAD
MICHIGAN            517--ADRIAN, JACKSON, LANSING, SAGINAW
NEW YORK            518--ALBANY, GREENWICH, SCHENECTADY, TROY

MISSISSIPPI         601
ARIZONA             602
NEW HAMPSHIRE       603
SOUTH DAKOTA        605
KENTUCKY            606--ASHLAND, LEXINGONT-FAYETTE, WINCHESTER
NEW YORK            607--BINGHAMTON, ELMIRA, STAMFORD
WISCONSIN           608--BELOIT, MADISON
NEW JERSEY          609--ATLANTIC CITY, CAMDEN, TRENTON
MINNESOTA           612--MINNEAPOLIS, ST. PAUL
OHIO                614--COLUMBUS, MARIETTA, NEWARK, ZANESVILLE
TENNESSEE           615--CHATTANOOGA, KNOXVILLE, NASHVILLE
TENNESSEE           615 901
MICHIGAN            616--BATTLE CREEK, GRAND RAPIDS, KALAMAZOO
MASSACHUSETTS       617--BOSTON, FRAMINGTON, NEW BEDFORD, PLYMOUTH, WORCESTER
ILLINOIS            618--ALTON, CAIRO
CALIFORNIA          619--SAN DIEGO

NORTH DAKOTA        701
NEVADA              702
VIRGINIA            703--ALEXANDRIA, ROANOKE
VIRGINIA            703 804
NORTH CAROLINA      704 919
NORTH CAROLINA      704--CHARLOTTE
IOWA                712--COUNCIL BLUFFS, SIOUX CITY
TEXAS               713--HOUSTON, PASADENA
CALIFORNIA          714--ANAHEIM, HUNTINGTON BEACH, RIVERSIDE, SANTA ANA
WISCONSIN           715--BAY CITY
NEW YORK            716--BUFFALO, NIAGARA FALLS, ROCHESTER
PENNSYLVANIA        717--HARRISBURG, HERSHEY, SCRANTON, WILKES-BARRE
NEW YORK            718--NYC-BROOKLYN, NYC-QUEENS, NYC-STATEN ISLAND, AP

UTAH                801
VERMONT             802
SOUTH CAROLINA      803
VIRGINIA            804--RICHMOND, VIRGINIA BEACH
VIRGINIA            804--CHESAPEAKE, HAMPTON, NEWPORT NEWS, NORFOLK,
CALIFORNIA          805--BAKERSFIELD
TEXAS               806--AMARILLO, LUBBOCK
HAWAII              808
KENTUCKY            812--DADE PARK
INDIANA             812--EVANSVILLE
FLORIDA             813--ST. PETERESBURG, TAMPA
PENNSYLVANIA        814--ALTOONA, ERIE, JOHNSTOWN, PUNXSUTAWNEY
ILLINOIS            815--LA SALLE, ROCKFORD
MISSOURI            816--INDEPENDENCE, KANSAS CITY, ST. JOSEPH
TEXAS               817--ARLINGTON, FORT WORTH, WACO
CALIFORNIA          818--BURBANK, VAN NUYS, SAN FERNANDO

TENNESSEE           901--MEMPHIS
FLORIDA             904--JACKSONVILLE, TALLAHASSEE
MICHIGAN            906--ESCANABA, SAULT STE. MARIE
ALASKA              907
GEORGIA             912--MACON, SAVANNAH, WAYCROSS
KANSAS              913--KANSAS CITY, OTTAWA, TOPEKA
NEW YORK            914--MONROE, MT. VERNON, PEEKSKILL, POUGHKEEPSIE, WP, YONJKE
TEXAS               915--EL PASO
CALIFORNIA          916--SACRAMENTO
OKLAHOMA            918--MUSKOGEE, TULSA
NORTH CAROLINA      919--DURHAM, GREENSBORO, RALEIGH, WINSTON-SALEM
